year,month,day,time_of_day,week,rainfall
2020,3,12,Morning,10,0.0
2020,3,12,Night,10,0.0
2020,3,13,Afternoon,10,0.0
2020,3,13,Evening,10,0.0
2020,3,13,Morning,10,1.4129999999999967
2020,3,13,Night,10,265.5000000489998
2020,3,14,Afternoon,10,0.0
2020,3,14,Evening,10,0.0
2020,3,14,Morning,10,0.0
2020,3,14,Night,10,0.0
2020,3,15,Afternoon,10,0.0
2020,3,15,Evening,10,0.0
2020,3,15,Morning,10,0.0
2020,3,15,Night,10,0.0
2020,3,16,Afternoon,11,0.0
2020,3,16,Evening,11,35.695000054000026
2020,3,16,Morning,11,0.0
2020,3,16,Night,11,0.0
2020,3,17,Afternoon,11,0.0
2020,3,17,Evening,11,0.0
2020,3,17,Morning,11,5.04100000799997
2020,3,17,Night,11,7.148000005999906
2020,3,18,Afternoon,11,0.0
2020,3,18,Evening,11,28.63600001200001
2020,3,18,Morning,11,0.054000001
2020,3,18,Night,11,0.07400000000000002
2020,3,19,Afternoon,11,0.0
2020,3,19,Evening,11,106.07300003100043
2020,3,19,Morning,11,0.014000000000000002
2020,3,19,Night,11,19.798000035000015
2020,3,20,Afternoon,11,0.0
2020,3,20,Evening,11,0.0
2020,3,20,Morning,11,149.73500008599973
2020,3,20,Night,11,45.79900006500025
2020,3,21,Afternoon,11,0.084
2020,3,21,Evening,11,0.055
2020,3,21,Morning,11,0.0
2020,3,21,Night,11,0.017
2020,3,22,Afternoon,11,0.0
2020,3,22,Evening,11,0.0
2020,3,22,Morning,11,0.0
2020,3,22,Night,11,0.0
2020,3,23,Afternoon,12,136.58600007800075
2020,3,23,Evening,12,0.1360000000000001
2020,3,23,Morning,12,220.11200003999974
2020,3,23,Night,12,102.15400008200045
2020,3,24,Afternoon,12,0.001
2020,3,24,Evening,12,0.2040000000000001
2020,3,24,Morning,12,0.028999999999999998
2020,3,24,Night,12,0.005
2020,3,25,Afternoon,12,0.0
2020,3,25,Evening,12,0.27700000400000013
2020,3,25,Morning,12,0.0
2020,3,25,Night,12,0.09400000000000004
2020,3,26,Afternoon,12,0.0
2020,3,26,Evening,12,0.0
2020,3,26,Morning,12,0.005
2020,3,26,Night,12,0.23000000000000015
2020,3,27,Afternoon,12,0.0
2020,3,27,Evening,12,0.34900000500000017
2020,3,27,Morning,12,0.051000000000000004
2020,3,27,Night,12,0.0
2020,3,28,Afternoon,12,2.2370000009999966
2020,3,28,Evening,12,0.35100000300000017
2020,3,28,Morning,12,65.92800002599998
2020,3,28,Night,12,1.38
2020,3,29,Afternoon,12,22.489000002999997
2020,3,29,Evening,12,0.24800000000000005
2020,3,29,Morning,12,504.794000143996
2020,3,29,Night,12,92.33699999800037
2020,3,30,Afternoon,13,10.279000017000003
2020,3,30,Evening,13,1.3400000049999992
2020,3,30,Morning,13,131.10200002700066
2020,3,30,Night,13,1.1170000000000004
2020,3,31,Afternoon,13,0.028000000000000004
2020,3,31,Evening,13,0.0
2020,3,31,Morning,13,16.11800005199997
2020,3,31,Night,13,1.0870000009999985
2020,4,1,Afternoon,13,0.0
2020,4,1,Evening,13,0.068
2020,4,1,Morning,13,0.0
2020,4,1,Night,13,0.0
2020,4,2,Afternoon,13,0.0
2020,4,2,Evening,13,0.0
2020,4,2,Morning,13,0.0
2020,4,2,Night,13,0.06500000100000002
2020,4,3,Afternoon,13,2.58600001
2020,4,3,Evening,13,28.89900002000007
2020,4,3,Morning,13,0.0
2020,4,3,Night,13,0.45199999999999996
2020,4,4,Afternoon,13,0.001
2020,4,4,Evening,13,2.2540000019999926
2020,4,4,Morning,13,0.9140000030000006
2020,4,4,Night,13,1.2839999999999916
2020,4,5,Afternoon,13,0.0
2020,4,5,Evening,13,0.0
2020,4,5,Morning,13,0.0
2020,4,5,Night,13,2.3460000019999767
2020,4,6,Afternoon,14,0.0
2020,4,6,Evening,14,0.0
2020,4,6,Morning,14,0.0
2020,4,6,Night,14,0.0
2020,4,7,Afternoon,14,24.314000103
2020,4,7,Evening,14,329.7639999919998
2020,4,7,Morning,14,0.021000001
2020,4,7,Night,14,28.732999999999997
2020,4,8,Afternoon,14,0.0
2020,4,8,Evening,14,0.0
2020,4,8,Morning,14,0.011000000000000003
2020,4,8,Night,14,0.2460000000000002
2020,4,9,Afternoon,14,0.0
2020,4,9,Evening,14,2.256000008999999
2020,4,9,Morning,14,26.043000012000007
2020,4,9,Night,14,421.8370001229991
2020,4,10,Afternoon,14,0.0
2020,4,10,Evening,14,0.0
2020,4,10,Morning,14,0.0
2020,4,10,Night,14,1.7790000019999992
2020,4,11,Afternoon,14,0.0
2020,4,11,Evening,14,0.0
2020,4,11,Morning,14,0.0
2020,4,11,Night,14,0.0
2020,4,12,Afternoon,14,0.0
2020,4,12,Evening,14,2.8920000099999985
2020,4,12,Morning,14,0.0
2020,4,12,Night,14,0.0
2020,4,13,Afternoon,15,1.8140000049999983
2020,4,13,Evening,15,0.68500001
2020,4,13,Morning,15,194.55900006499965
2020,4,13,Night,15,544.5520001750007
2020,4,14,Afternoon,15,0.051
2020,4,14,Evening,15,0.049
2020,4,14,Morning,15,0.0
2020,4,14,Night,15,0.066
2020,4,15,Afternoon,15,0.0
2020,4,15,Evening,15,0.0
2020,4,15,Morning,15,2.1759999999999997
2020,4,15,Night,15,0.0
2020,4,16,Afternoon,15,0.28500000000000003
2020,4,16,Evening,15,0.0
2020,4,16,Morning,15,0.07499999900000001
2020,4,16,Night,15,0.0
2020,4,17,Afternoon,15,0.0
2020,4,17,Evening,15,0.0
2020,4,17,Morning,15,0.0
2020,4,17,Night,15,0.19900000100000012
2020,4,18,Afternoon,15,0.0
2020,4,18,Evening,15,0.0
2020,4,18,Morning,15,0.0
2020,4,18,Night,15,0.0
2020,4,19,Afternoon,15,2.388999989999999
2020,4,19,Evening,15,0.0
2020,4,19,Morning,15,24.47299999500003
2020,4,19,Night,15,0.026000000000000002
2020,4,20,Afternoon,16,0.0
2020,4,20,Evening,16,0.0
2020,4,20,Morning,16,0.0
2020,4,20,Night,16,0.023000000000000003
2020,4,21,Afternoon,16,0.0
2020,4,21,Evening,16,0.0
2020,4,21,Morning,16,1.6100000009999995
2020,4,21,Night,16,38.39800000999998
2020,4,22,Afternoon,16,0.0
2020,4,22,Evening,16,0.08600000000000002
2020,4,22,Morning,16,0.0
2020,4,22,Night,16,0.0
2020,4,23,Afternoon,16,0.0
2020,4,23,Evening,16,0.19300000100000003
2020,4,23,Morning,16,0.0
2020,4,23,Night,16,0.14600000000000005
2020,4,24,Afternoon,16,0.0
2020,4,24,Evening,16,0.0
2020,4,24,Morning,16,0.22200000200000006
2020,4,24,Night,16,0.0
2020,4,25,Afternoon,16,0.0
2020,4,25,Evening,16,0.0
